Id,Name,Address,City,State,ZIP,Phone,Type
772462193126,UROLOGY OF GREATER ATLANTA LLC,550 PEACHTREE ST NE,ATLANA,GA,30308-2243,770-474-5281,
622263573475,GRADY MEMORIAL HOSPITAL,80 JESSE HILL  JR DRIVE SE,ATLANTA,GA,30303,4046164252,Acute Care Hospitals
800481504791,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE STREET   NE,ATLANTA,GA,30308,4046864411,Acute Care Hospitals
104507901941,AU MEDICAL CENTER,1120 15TH STREET,AUGUSTA,GA,30912,7067216569,Acute Care Hospitals
163863794660,URGENT MD HEALTHCARE SERVICES  P.C.,1115 GARREDD BLVD,AUGUSTA,GA,30909-6674,706-922-6300,
281265946657,NORTH FULTON EAR NOSE AND THROAT ASSOCIATES  P.C.,2500 HOSPITAL BLVD,ROSWELL,GA,30076-4919,770-343-8675,
686926368490,WELLSTAR NORTH FULTON HOSPITAL,3000 HOSPITAL BOULEVARD,ROSWELL,GA,30076,7707512500,Acute Care Hospitals
941268119078,CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY,101 MCFARLAND RD,LOOKOUT MOUNTAIN,GA,30750-3122,706-820-8133,
525091699956,CORNERSTONE MEDICAL CENTER,100 GROSS CRESCENT CIRCLE,FORT OGLETHORP,GA,30742,7068582000,Acute Care Hospitals
896539674674,PIZZA CLINIC OF CHIROPRACTIC,3284 DOGWOOD DR,HAPEVILLE,GA,30354-1158,404-761-6200,
333718820534,EMORY UNIVERSITY HOSPITAL,1364 CLIFTON ROAD  NE,ATLANTA,GA,30322,4046868500,Acute Care Hospitals
369963677622,ATLANTA VISION CATARACT AND LASER CENTER PC,3619 S FULTON AVE,HAPEVILLE,GA,30354-1710,404-765-2020,
716879650048,CHILDREN'S HEALTHCARE OF ATLANTA AT EGLESTON,1405 CLIFTON ROAD  NE,ATLANTA,GA,30322,4047856101,Childrens
265664410815,PIEDMONT PROVIDERS LLC,275 COLLIER NWRD,ATLANTA,GA,30309-1711,404-605-4848,
707056450633,PCP135001,1130 SENOIA RD,TYRONE,GA,30290-1641,,
903587716279,WELLSTAR ATLANTA MEDICAL CENTER,303 PARKWAY DRIVE  NE,ATLANTA,GA,30312,4042654000,Acute Care Hospitals
819724569107,PIEDMONT FAYETTE HOSPITAL,1255 HIGHWAY 54 WEST,FAYETTEVILLE,GA,30214,7707197071,Acute Care Hospitals
867391455605,CHILDREN'S HEALTHCARE OF ATLANTA AT SCOTTISH RITE,1001 JOHNSON FERRY ROAD,ATLANTA,GA,30342,4047855252,Childrens
985443798053,ATHENS BONE AND JOINT PC,528 PANTHER DR,JEFFERSON,GA,30549-5400,706-583-9000,
473335455771,NORTHRIDGE MEDICAL CENTER,70 MEDICAL CENTER DRIVE,COMMERCE,GA,30529,7063351100,Acute Care Hospitals
227959922917,ST JOSEPH'S HOSPITAL - SAVANNAH,11705 MERCY BOULEVARD,SAVANNAH,GA,31419,9128194100,Acute Care Hospitals
569616462472,MEMORIAL HEALTH UNIV MED CEN  INC,4700 WATERS AVENUE,SAVANNAH,GA,31403,9123503691,Acute Care Hospitals
990728461764,CENTER FOR DIGESTIVE AND LIVER HEALTH LLC,140 TRADERS WAY,POOLER,GA,31322-4035,912-303-4200,
784351539348,Savannah Clinic,1170 Shawnee St.,Savannah,GA,31419,912-920-0214,VA Facility
812320826443,PCP231040,1126 W 12TH ST,ALMA,GA,31510-1814,912-632-0885,
482367746648,JEFF DAVIS HOSPITAL,163 SOUTH TALLAHASSEE STREET  P O BOX 1690,HAZLEHURST,GA,31539,9123757781,Critical Access Hospitals
174875609840,SATILLA HEALTH SERVICES INCORPORATED - SATILLA CONVENIENT CARE,1921 ALICE STREET,WAYCROSS,GA,31501,912-283-5616,URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS)  FREESTANDING
904344511843,EMORY JOHNS CREEK HOSPITAL,6325 HOSPITAL PARKWAY,JOHNS CREEK,GA,30097,6784747000,Acute Care Hospitals
880156238952,PCP106070,3525 GWINNETT PLACE DR,DULUTH,GA,30096-4708,,
819467582826,PCP161742,11459 JOHNS CREEK PKWY,JOHNS CREEK,GA,30097-3518,,
374044869896,EMERGENCY PHYSICIANS INC,2000 DAN PROCTOR DR,SAINT MARYS,GA,31558-3810,912-576-6200,
118638248387,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,2415 PARKWOOD DRIVE,BRUNSWICK,GA,31520,9124667000,Acute Care Hospitals
971926469513,LAVENDER INPATIENT SERVICES LLC,960 JOE FRANK HARRIS SEPKWY,CARTERSVILLE,GA,30120-2129,770-382-1530,
450291767477,CARTERSVILLE MEDICAL CENTER,960 JOE FRANK HARRIS PARKWAY,CARTERSVILLE,GA,30120,7703878182,Acute Care Hospitals
469060253308,CARTERSVILLE PEDIATRIC ASSOCIATES,970 JOE FRANK HARRIS PARKWAY,CARTERSVILLE,GA,30120,770-386-3011,URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS)  FREESTANDING
755668174280,MOUNT VERNON EYE CARE  P.C.,1611 MOUNT VERNON RD,DUNWOODY,GA,30338-4224,770-393-0003,
104430466937,WARM SPRINGS MEDICAL CENTER,5995 SPRING STREET,WARM SPRINGS,GA,31830,7066559351,Critical Access Hospitals
736058595406,PCP349589,3214 ROOSEVELT HWY,MANCHESTER,GA,31816-6418,,
877774432901,ATHENS ORTHOPEDIC CLINIC  PA,1765 OLD W BROAD ST,ATHENS,GA,30606-2853,706-549-1663,
258215272906,REDDY URGENT CARE,1061 DOWDY ROAD,ATHENS,GA,30606,706-621-7555,URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS)  FREESTANDING
428384433042,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,1199 PRINCE AVENUE,ATHENS,GA,30606,7064757000,Acute Care Hospitals
720126965267,ST MARY'S HOSPITAL,1230 BAXTER STREET,ATHENS,GA,30606,7063893930,Acute Care Hospitals
568313864064,Athens Clinic,9249 Highway 29 North,Athens,GA,30601,706-227-4534,VA Facility
151754573255,INDEPENDENT PHYSICAL THERAPY OF GA  LLC,4510 NELSON BROGDON BLVD,SUGAR HILL,GA,30518-3478,770-945-1045,
270756241618,Oakwood VA Clinic,4175 Tanners Creek Drive,Flowery Branch,GA,30542,404-329-2222,VA Facility
973753955562,PROMED URGENT CARE,922 GAINESVILLE HIGHWAY,BUFORD,GA,30518,770-904-7821,URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS)  FREESTANDING
530265780976,NORTHSIDE HOSPITAL FORSYTH,1200 NORTHSIDE FORSYTH DRIVE,CUMMING,GA,30041,7708443200,Acute Care Hospitals
946285537170,AMERICAN CURRENT CARE PA,109 MINIS AVE,GARDEN CITY,GA,31408-2130,912-966-5445,
461575145361,PCP218703,12425 MORRIS RD A,ALPHARETTA,GA,30005-4137,,
652760783956,PCP56476,2801 BUFORD HWY NE,BROOKHAVEN,GA,30329-2137,404-636-1108,
813097143739,SAINT JOSEPH'S HOSPITAL OF ATLANTA  INC,5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,6788435720,Acute Care Hospitals
333813394999,NORTH ATLANTIC URGENT CARE,2700 CLAIRMONT ROAD,ATLANTA,GA,30329,404-327-8744,URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS)  FREESTANDING
668846485637,UNIVERSITY CARDIOLOGY ASSOCIATES LLC,316 WARE ST,THOMSON,GA,30824-2127,706-595-2205,
508874331511,UNIVERSITY HOSPITAL MCDUFFIE,2460 WASHINGTON ROAD,THOMSON,GA,30824,7065951411,Acute Care Hospitals
220668416980,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,ALBANY,GA,31703,2293124068,Acute Care Hospitals
418300123345,PHOEBE PHYSICIAN GROUP INC,901 N MADISON ST,ALBANY,GA,31701-2210,229-883-1208,
883065949585,PCP321387,200 HWY 49 S,BYRON,GA,31008-6937,,
559982158350,MEDICAL CENTER OF PEACH COUNTY  NAVICENT HEALTH,1960 HIGHWAY 247 CONNECTOR,BYRON,GA,31008,4786542000,Critical Access Hospitals
397345393874,LIFEPOINTE URGENT CARE - BYRON,212 STATE HIGHWAY 49 NORTH,BYRON,GA,31008,478-956-5433,URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS)  FREESTANDING
891015656535,PCP24063,2801 BUFORD HWY NE,BROOKHAVEN,GA,30329-2143,404-964-9260,
529270103720,THE LONGSTREET CLINIC  PC,3215 MCCLURE BRIDGE RD,DULUTH,GA,30096-3223,678-312-6200,
927078143787,PCP112508,2801 BUFORD HWY NE,BROOKHAVEN,GA,30329-2124,,
193308771266,SOUTHERN REGIONAL MEDICAL CENTER,11 UPPER RIVERDALE ROAD  SW,RIVERDALE,GA,30274,7709918160,Acute Care Hospitals
878932532066,PIEDMONT MINOR EMERGENCY CLINIC,3108 PIEDMONT ROAD NORTHEAST,ATLANTA,GA,30305,404-237-1755,URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS)  FREESTANDING
793865338251,PCP260215,521 3RD AVE,ALBANY,GA,31701-1394,,
325999654463,THE MEDICAL CENTER OF PEACH COUNTY  INC.,701 BLUEBIRD BLVD,FORT VALLEY,GA,31030-5085,478-825-7000,
154481629775,MIDTOWN MEDICAL CENTER,710 CENTER ST BOX 951,COLUMBUS,GA,31901,7065711000,Acute Care Hospitals
346642159687,EMORY EGLESTON CHILDRENS HEART CENTER,705 17TH ST,COLUMBUS,GA,31901-3513,404-256-2593,
824454459692,ST FRANCIS PHYSICIAN PRACTICES LLC,2300 MANCHESTER EXPY,COLUMBUS,GA,31904-6802,706-322-6646,
770942112010,ST FRANCIS HOSPITAL,2122 MANCHESTER EXPRESSWAY,COLUMBUS,GA,31995,7065964020,Acute Care Hospitals
710420153556,GORDON HOSPITAL,1035 RED BUD ROAD,CALHOUN,GA,30701,7066292895,Acute Care Hospitals
759996151323,FLOYD HEALTHCARE MANAGEMENT INC,6000 JOE FRANK HARRIS NWPKWY,ADAIRSVILLE,GA,30103-2443,770-773-9448,
938451329205,Rome VA Clinic,30 Chateau Dr  SE,Rome,GA,30161,404-329-2222,VA Facility
501160773079,AEGIS GROUP PRACTICE LLC,1155 MOUNT VERNON HWY,DUNWOODY,GA,30338-5429,800-638-1187,
472350807934,PCP168434,507 ALABAMA AVE,BREMEN,GA,30110-2007,,
629644225588,HIGGINS GENERAL HOSPITAL,200 ALLEN MEMORIAL DRIVE,BREMEN,GA,30110,7708242210,Critical Access Hospitals
723858165576,CHOICEONE URGENT CARE OF GWINNETT LLC,5910 SUWANEE DAM RD,SUGAR HILL,GA,30518-5648,470-326-7600,
521674999111,PCP54830,5680 PEACHTREE PKWY,PEACHTREE CORNERS,GA,30092-2857,678-851-0528,
890553689962,PCP32452,440 MILLEDGE CIR,ATHENS,GA,30606-4336,706-549-9196,
453435385489,EMERGINET  LLC,1000 THORNTON RD,LITHIA SPRINGS,GA,30122-2612,770-732-7777,
589698521675,WELLSTAR COBB HOSPITAL,3950 AUSTELL RD,AUSTELL,GA,30106,7707324000,Acute Care Hospitals
309390522592,TANNER MEDICAL CENTER - CARROLLTON,705 DIXIE STREET,CARROLLTON,GA,30117,7708369580,Acute Care Hospitals
536123382108,BOWDON FAMILY MEDICINE LLC,501 MITCHELL AVE,BOWDON,GA,30108-1407,770-876-3127,
634702850951,AMERICAN CURRENT CARE PA,5670 FULTON INDUSTRIAL BLVD,FULTON,GA,30336-2659,404-344-3930,
429890155577,PCP140625,3042 OAKCLIFF RD,DORAVILLE,GA,30340-2643,,
534469506095,PCP145935,2320 HAMILTON RD,COLUMBUS,GA,31904-8534,,
619331264518,NORTHSIDE MEDICAL CENTER,100 FRIST COURT,COLUMBUS,GA,31909,7064942100,Acute Care Hospitals
577176626984,NEPHROLOGY ASSOCIATES PC,1303 DANTIGNAC ST,AUGUSTA,GA,30901-2792,706-722-6900,
378700645697,MIDDLE GEORGIA FAMILY REHAB,100 HAMILTON POINTE DR,BYRON,GA,31008,478-538-1436,
704911349721,PCP149974,157 ADAMS DR,DEMOREST,GA,30535-4564,,
178751886335,HABERSHAM COUNTY MEDICAL CTR,541 HISTORIC HIGHWAY 441-NORTH,DEMOREST,GA,30535,7067542161,Acute Care Hospitals
174613723854,ATLANTIC RADIOLOGY ASSOCIATES LLC,136 TRADERS WAY,POOLER,GA,31322-4035,786-621-3900,
