Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
b5ae2539-cb53-3242-bf5b-b810dcc2c508,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,34.769222,-84.97041999999998,7062726105,0.0,154
bdf9ff67-ca46-3954-a4b2-52296aff635f,UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,THOMASTON,GA,30286,32.891673,-84.326691,7066478111,0.0,120
2008ee50-2097-3262-a994-b258c6bc3f1d,MEMORIAL SATILLA HEALTH,1900 TEBEAU STREET,WAYCROSS,GA,31501,31.211006,-82.357658,9122872500,0.0,97
2f5ed0cf-6fbc-3413-9e96-abb7b91d3421,NORTHSIDE HOSPITAL FORSYTH,1200 NORTHSIDE FORSYTH DRIVE,CUMMING,GA,30041,34.207649,-84.13357099999998,7708443200,0.0,357
ef976bcb-30e8-3371-98fa-b3e511a7b12f,ST MARY'S HOSPITAL,1230 BAXTER STREET,ATHENS,GA,30606,33.949597,-83.370088,7063893930,0.0,102
48264bd0-fa65-3754-8891-c84e9d86bff6,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,ALBANY,GA,31703,31.577669,-84.17945300000002,2293124068,0.0,904
348c48e5-e511-362d-a05a-69882df35faa,NORTHSIDE HOSPITAL CHEROKEE,450 NORTHSIDE CHEROKEE BOULEVARD,CANTON,GA,30115,34.247201000000004,-84.490723,7702441000,0.0,171
4bd8c4a2-d5ef-3625-a1b4-c31eac977cb2,EMORY UNIVERSITY HOSPITAL,1364 CLIFTON ROAD  NE,ATLANTA,GA,30322,33.762909,-84.422675,4046868500,0.0,449
6e0d0fc7-555d-3513-abf1-2da7126d10a7,TANNER MEDICAL CENTER - CARROLLTON,705 DIXIE STREET,CARROLLTON,GA,30117,33.584926,-85.034942,7708369580,0.0,29
93b0bfc0-5c96-3695-b4f4-31d8121c9998,TANNER MEDICAL CENTER VILLA RICA,601 DALLAS HIGHWAY,VILLA RICA,GA,30180,33.72096,-84.95071800000002,7704563101,0.0,187
1362d781-836f-35ad-95d1-749a00346e77,WELLSTAR WEST GEORGIA MEDICAL CENTER,1514 VERNON ROAD,LAGRANGE,GA,30240,33.030397,-85.03787,7068821411,0.0,57
dc3aa464-1a60-34f8-bdd8-b06fcc5a2544,PIEDMONT NEWTON HOSPITAL,5126 HOSPITAL DRIVE NE,COVINGTON,GA,30014,33.605079,-83.847436,7707867053,0.0,286
b9edceda-bd2d-396a-9acc-1275f959d336,GORDON HOSPITAL,1035 RED BUD ROAD,CALHOUN,GA,30701,34.483191,-84.94508,7066292895,0.0,1981
